Part,Price (USD),Quantity,Total Cost Inlcuding Shipping(USD),Website
Lipo Battery 3.7 V,4.95,2,8.12,https://www.aliexpress.com/item/33007984508.html?src=google
PCB,18.5,5,28.04,https://cart.jlcpcb.com/shopcart/cart/
MX Switches,0.09875,80,7.90,https://www.aliexpress.com/item/1005011838889689.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.52e9eMDBeMDBRx&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=c9a4ab01-f8e6-45b9-8d11-919f5649c903&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3Ac9a4ab01-f8e6-45b9-8d11-919f5649c903%2Ctpp_buckets%3A668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%22984%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%213.83%213.83%21%21%213.83%213.83%21%402101ea8c17771586657335806e2f0e%2112000056744509269%21rec%21CA%216474970421%21XZ%211%210%21n_tag%3A-29919%3Bd%3A794157d1%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005011838889689%7C_p_origin_prod%3A
PBT Keycaps,0.2572,25,6.43,https://www.aliexpress.com/item/32842379355.html?spm=a2g0o.detail.0.0.63fdRvaXRvaXD9&mp=1&pdp_npi=6%40dis%21USD%21USD+6.73%21USD+6.43%21%21USD+6.43%21%21%21%402101dedf17773020284425639ef0e0%2110000001467765214%21ct%21CA%216474970421%21%211%210%21
XIAO nRF52840,10.69,2,21.38,https://www.aliexpress.com/item/1005006988954136.html?spm=a2g0o.cart.shoppingCartRecommend.2.433638daaERloJ&gps-id=shoppingCartRecommend&scm=1007.13440.426876.0&scm_id=1007.13440.426876.0&scm-url=1007.13440.426876.0&pvid=199c822d-4ad8-434c-9d77-58fb70d991a3&_t=gps-id%3AshoppingCartRecommend%2Cscm-url%3A1007.13440.426876.0%2Cpvid%3A199c822d-4ad8-434c-9d77-58fb70d991a3%2Ctpp_buckets%3A668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%222021%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%223440%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%2118.44%2110.70%21%21%21125.42%2172.74%21%402101c59117772325746338551e32c4%2112000042942288177%21rec%21CA%216474970421%21X%211%210%21n_tag%3A-29919%3Bd%3A794157d1%3Bm03_new_user%3A-29895&utparam-url=scene%3AshoppingCartRecommend%7Cquery_from%3A%7Cx_object_id%3A1005006988954136%7C_p_origin_prod%3A
1N5819 Diodes,0.0322,100,3.22,https://www.aliexpress.com/item/1005010373909049.html?spm=a2g0o.productlist.main.1.2d56iwNEiwNEcT&algo_pvid=b69784c3-08b3-4b10-abcd-14e5f4dff1a9&algo_exp_id=b69784c3-08b3-4b10-abcd-14e5f4dff1a9-0&pdp_ext_f=%7B%22order%22%3A%22144%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.72%213.29%21%21%2145.69%2122.39%21%402103122117771821669902953e2c51%2112000052183578000%21sea%21CA%216474970421%21X%211%210%21n_tag%3A-29919%3Bd%3A794157d1%3Bm03_new_user%3A-29895&curPageLogUid=VT8pOmptmrYM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010373909049%7C_p_origin_prod%3A
Hot-Swap PCB Socket,0.09542857143,70,6.68,https://www.aliexpress.com/item/1005007225352311.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.8.6eb9pYmIpYmItw&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=13234f9b-a554-4d89-b1f4-d0d38604056f&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A13234f9b-a554-4d89-b1f4-d0d38604056f%2Ctpp_buckets%3A668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%22824%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%218.48%214.07%21%21%2157.69%2127.69%21%40210328c017772334442917425eb74c%2112000039872158637%21rec%21CA%216474970421%21XZ%211%210%21n_tag%3A-29919%3Bd%3A794157d1%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005007225352311%7C_p_origin_prod%3A
M2 threaded brass inserts ,0.0458,50,2.29,https://www.aliexpress.com/item/1005008666672949.html?spm=a2g0o.productlist.main.4.574fHaRyHaRy7c&aem_p4p_detail=202604252254182051639470485450002003995&algo_pvid=701f7727-3101-4a75-9ac5-d2b68ff5c0c7&algo_exp_id=701f7727-3101-4a75-9ac5-d2b68ff5c0c7-3&pdp_ext_f=%7B%22order%22%3A%2215683%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.56%212.56%21%21%2117.43%2117.43%21%402101ef5e17771828581558571e1cf5%2112000046157335299%21sea%21CA%216474970421%21X%211%210%21n_tag%3A-29919%3Bd%3A794157d1%3Bm03_new_user%3A-29895&curPageLogUid=kukGMW7BGeht&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008666672949%7C_p_origin_prod%3A&search_p4p_id=202604252254182051639470485450002003995_1
M2 Screws 4mm length,0.0286,50,1.43,https://www.aliexpress.com/item/32967225441.html?spm=a2g0o.productlist.main.3.13dfz48bz48bkn&algo_pvid=dc01a06f-0899-4bbb-96ad-8ec5b035839f&algo_exp_id=dc01a06f-0899-4bbb-96ad-8ec5b035839f-2&pdp_ext_f=%7B%22order%22%3A%2215225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.45%211.45%21%21%211.45%211.45%21%402103110517771835718115658e4b25%2112000015921238834%21sea%21CA%216474970421%21X%211%210%21n_tag%3A-29919%3Bd%3A794157d1%3Bm03_new_user%3A-29895&curPageLogUid=wkBiljUuE5jX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32967225441%7C_p_origin_prod%3A
3D printed case,,1,0.00,printing at home
,,,85.49,
